description	level_1
寄-歡喜幸福/50ml/4瓶	戶外休閒
拖把架 掃把架 掛勾 掛鈎 雨傘架 拖把掛架 不留痕 免打孔 掃把夾 拖把夾 日系卡通拖把架【G022】Color me	居家清潔
Scratch 3.0程式設計好好玩：初學者感到安心的步驟式教學，培養邏輯思維，算數、遊戲、畫圖、配樂全都辦得	書籍
彭村梅spa兌換券	大型家電/視聽影音
毛小孩Love's包裝紙	鍋具.廚具.濾水
沁涼冬瓜茶	飲料沖泡
套餐-勁辣鷄腿堡 Spicy Chicken Filet Burger Meal 2021-07-11 d9dh-ui59	餐飲消費
晨露綠香茶	飲料沖泡
香椿素便當	餐飲消費
地瓜拿鐵(L)	餐飲消費
P200995	其他消費
馬玉山黑芝麻紫米堅果飲30g*12	飲料沖泡
圖解犯罪心理學: 從理論到實例, 讀懂難以捉摸的人心黑暗面 / 內山絢子  誠品eslite	書籍
起司松露	餐飲消費
免秤	戶外休閒
柳丁愛  孜然粒100g【A141】	食品雜貨
(東)塑鋼中畚斗組 230	居家清潔
奇多隨口脆海苔２８Ｇ	零食點心
統一LP33機能優酪乳 900ml 2021-09-04 k7yc-vmp4	生鮮冷藏
ES個性時尚簡約細帶一字平底涼鞋2色-GB350361/G138 - 37 / 白	戶外休閒
康寧外出瓶540ml	鍋具.廚具.濾水
阿櫻	菸/酒
大同 TAH-C600A	小家電專區
優清痔瘡軟膏20克	食品雜貨
加購鹹湯圓	食品雜貨
總匯起司蛋吐司	餐飲消費
實用3WLED大廣角節能燈泡黃光PT-LE	生活百貨
黑毛魚	生鮮冷藏
幫寶適一級幫XL33片    (6)	嬰幼兒與孕婦
伊麗莎白圈 貓貓咪用品防咬防舔恥辱伊利項圈軟布伊莉莎白寵物頭套 3色	寵物
鐵觀音茶粉50g	飲料沖泡
清潔費(兒)	其他消費
(小)咖哩平西-S	餐飲消費
手拉陶藝竹節高杯	戶外休閒
丸三-無調整有機豆乳200ml	生鮮冷藏
CIAO啾嚕肉泥（鮪魚鮪魚柴魚片）14g4條	寵物
北海道極純生乳捲	飲料沖泡
運動休閒娛樂	戶外休閒
10270-131-013-16- 女裝混紡休閒T恤	服飾與配件精品
阿里山小葉紅茶	飲料沖泡
雷射印刷吸鐵	生活百貨
便利妥急救敷料貼-免淋濕5入-M	生活百貨
49元三菱中性筆 UM-15	生活百貨
波卡濃厚蘑菇芝士濃湯－３入	泡麵罐頭
貢丸湯 2021-05-04 a0vq-4vwo	冷凍食品
「好食光」韓國 Enaak 小雞麵 點心麵 大雞麵 雞汁點心麵 盒裝	泡麵罐頭
BA3509-1-XL 素面輕柔涼感腰鬆緊寬褲	服飾與配件精品
(網路限定)R＆F-泡泡騷-盛開牡丹	生活百貨
Levis 男款 501經典排釦牛仔短褲 褲管不收邊 重磅 無彈性-32腰	服飾與配件精品
代收代付 - KANGAROOS 休閒鞋 GROOVE II 粉紫 拼接 增高 老爹鞋 女 (布魯克	戶外休閒
老騾子(蝦米)朝天椒240g*12�	食品雜貨
招財納福	生活百貨
海倫去屑洗髮乳７５０ｍｌ－絲滑柔順	美容沐浴
普拿疼速效10錠	嬰幼兒與孕婦
DE CECCO NO.176 杜蘭	食品雜貨
伊比利豬凱薩	餐飲消費
蒜味條	零食點心
脆妮妮含鐵寶寶餅120g	零食點心
Mod NX for iPhone XS 透明背板(客製)(寶可夢)	生活百貨
三得利 芝麻明EX 90錠《SUPER SALE 樂天購物節》整點特賣04/09(五)1500準時開搶《SUPER SALE 樂天購物節 每日1000開搶$100/$200折價券》	食品雜貨
--A摩卡拿鐵(熱)	食品雜貨
9號完美王墨筆替換水管黑	生活百貨
旺旺銀雪	零食點心
折頁加工基本費	生活百貨
嬌蠻貓娘大橫行01	其他消費
萬油精	交通
ＡＣＥ法國艾香軟嫩蜜棗乾	零食點心
百威啤酒330ml*24入	菸/酒
【LANNI 藍尼】現貨 街頭風BF連帽款上衣-藍色(M-3XL)	服飾與配件精品
微甜茶霜莓果千層蛋糕	餐飲消費
檸檬鮭魚排	生鮮冷藏
NTF151PC  陶瓷折疊刀(桃紅)	鍋具.廚具.濾水
柔絲棉單人床包組	傢俱寢飾
金蜂蜜冰淇淋汽水	飲料沖泡
創意生活	傢俱寢飾
No Sebum Setting Spray	生活百貨
代收代付 - 青春正效應：新世代應該知道的人生微哲學    探索自我、友誼、學習、愛情、人生的	其他消費
幫寶適巧虎安睡褲-XL 34片 (4)	嬰幼兒與孕婦
特Classic搖杯28oz KaleYeah	生活百貨
良月黃金泡菜	生鮮冷藏
特力屋新夏卡爾多功能電腦桌	居家傢俱
「公司貨不刮罐」新減糖亞培小安素強護850克(亞培強護）	食品雜貨
瓶0.烏龍奶茶	飲料沖泡
蜜桃甜香果茶	飲料沖泡
代收代付 - SK-II 晶緻活膚乳液100g 保濕 滋潤	美容沐浴
鄉村臘腸芝士-1/2條	生鮮冷藏
BENEVO 1.5米 USB2.0 A公-A母 高隔離延長線	3C電子/配件
綠葡萄紫蘇氣泡飲	菸/酒
好運花水桶10L	居家清潔
潔克星【加價構】懶人抹布可水洗清潔家用無紡布巾 1捲50張	居家清潔
韻律圈	戶外休閒
莊園級美式 2021-05-02 ookf-09j9	飲料沖泡
南門市場蛋餃	冷凍食品
鳳梨翡翠綠	餐飲消費
八合一 記憶卡收納盒 SD卡收納盒 多功能收納卡盒 1MS 6TF 1SD 小白盒 TF卡盒 記憶體卡	生活百貨
收納盒(小)-白色	生活百貨
金鈺保險箱 TCQ-2535F 藍白雙拼小型馬卡龍指紋保險箱/防盜保險櫃/金庫/保管箱/收納櫃	戶外休閒
SENKA 專科 超微米瞬效保濕精華【watashi+資生堂官方店】	美容沐浴
東南亞龍蝦套餐	餐飲消費
潔田屋380手握通水洗車刷(48箱)	居家清潔
9786263084940迪士尼童話迷宮：孩子們的指尖大冒險	戶外休閒
蔥捲(套餐)	餐飲消費
芝⼠海鹽奶蓋紅R	食品雜貨
蝦味先(原味) 60g	零食點心
UBER高麗菜	食品雜貨
家樂氏 香果圈(320g) 買兩包送贈品	飲料沖泡
TOMA-PRO 優格 經典寵物食譜《幼犬│成犬│高齡犬》犬糧 6.6lb/3kg-幼犬羊肉	寵物
kitty手口加蓋柔濕巾70抽	嬰幼兒與孕婦
Abones雙刷頭潔牙骨S	寵物
樂活家幸福卡通密封夾	鍋具.廚具.濾水
卡勒富小瓶金蔥粉-淺綠	生活百貨
雙人分享套餐	餐飲消費
醇釀梅綠茶	飲料沖泡
票號:202107020021 車號:9238R5 進場時間：2021/07/02 11:34:06 繳費時間：2021/07/02 18:29:57 停車費	生活百貨
票號:202109010472 車號:NAF7150 進場時間：2021/09/01 14:39:29 繳費時間：2021/09/01 15:49:56 停車費	交通
雙人SPA+組合餐(假)	傢俱寢飾
:燒烤檸檬翅小腿	生鮮冷藏
〔GBL操作教具〕六次方認知學習多米諾（邏輯配對）	書籍
博施濟眾水 單支	其他消費
魯魯馬全系列 美國OXBOW 活力成兔/成天/幼天/倉鼠 飼料 天竺鼠飼料 兔子飼料 配方飼料  牧草壓縮飼料	其他消費
卓－蒜茸落花生	零食點心
魚排+拿麵(兒豬)	食品雜貨
悅和水餃(20入)	冷凍食品
飛燕煉奶	飲料沖泡
代收代付 - 氣壓開瓶器 抖音打氣活塞式紅酒葡萄酒開酒啟瓶器創意多功能酒具-享家	戶外休閒
推-黑寶玉米10入	其他消費
療黴舒一次療程護膜液 4g/tube	美容沐浴
【SABON】晶透夢境沐浴油300ml(晶透夢境系列★限量上市)	美容沐浴
瓜地馬拉花神咖啡豆	飲料沖泡
foodpanda B餐 2021-06-13 xx5j-r7xb	餐飲消費
男童針織服裝:YELLOW STRIPE:3YRS	嬰幼兒與孕婦
硬洗衣刷     103	生活百貨
奶油野菇	餐飲消費
舒妃自然匯頭皮角質淨化凝露-補水保溼120ML	美容沐浴
噶瑪蘭經典威士忌禮盒	菸/酒
Rosumin Eye Drops	其他消費
套餐-麥香魚 Filet-O-Fish Meal 2021-05-08 t8tt-2iqq	餐飲消費
WAJASS威傑士 S5 山茶花洗髮精 1000ml 70ml 洗髮精【正品現貨】【蕾泰勒】	美容沐浴
舞蹈回數票10張	生活百貨
大鈴聲鬧鐘	傢俱寢飾
不倒翁拉麵純麵條	泡麵罐頭
拉門溝槽清潔刷	居家清潔
【台灣現貨】不鏽鋼無痕螺絲貼 螺絲釘 附不鏽鋼通帽螺帽 無痕貼 無痕掛勾 毛巾架 吊掛神器 浴室收納架專用 螺絲膠	生活百貨
魔法Baby 男童內褲(四件一組) 台灣製男童純棉三角內褲~k50357-網	嬰幼兒與孕婦
PURROOM 羽毛小雞貓薄荷毛绒玩具 貓咪玩具 貓薄荷 造型玩具 小雞玩具 羽毛 玩具 火雞毛 貓用 逗貓	寵物
瑞穗柚花紅茶	飲料沖泡
酪梨烤鮮蔬起司烘蛋	餐飲消費
CVS (Print out the bills by CVS and pay in the store)	生活百貨
FS8331NS	3C電子/配件
台灣現貨【旋轉萬用掛勾】旋轉 掛鈎 掛架 免釘掛鈎 掛勾 旋轉 塑料掛勾 免打孔 免釘 門後 分支掛勾 風琴掛勾 無痕	鍋具.廚具.濾水
適用PANASONIC國際牌F-P40EH負離子空氣清淨機除臭活性碳二合一HEPA濾網 F-ZMRS40W -現貨可刷卡	小家電專區
通樂馬桶疏通(大)960ml*12	居家清潔
清淨機/HONEYWELL InsightTM 5250 空氣清淨機	大型家電/視聽影音
男內褲-緊身冰絲網眼透氣三角褲-LOTUS(黑色)-XL	服飾與配件精品
Pure．交叉美臀中腰三角內褲	服飾與配件精品
電癮券套餐	餐飲消費
【AOTTO】日系時尚大容量碗盤瀝水架碗櫃(碗盤收納架置物架收納箱)	居家傢俱
belly button Everyday Card/ Go	生活百貨
熟食10貫	餐飲消費
受託代銷-德拉克雙頭龍鑰匙	戶外休閒
快速出貨【特價30款】磁性汽車遮陽簾 隔熱簾 遮陽布 磁吸遮陽 車用遮陽 車用窗簾 抗UV	交通
萬歲樂  加賀梅酒 300ML	菸/酒
普渡	其他消費
池上洋蔥脆餅	零食點心
獨享披薩	餐飲消費
製冰盒附蓋	鍋具.廚具.濾水
000晶碩彩色日拋著丹寧系列10片裝率性不羈-藍	美容沐浴
花漾迪奧精萃香氛	美容沐浴
March纖維化毛貓罐(鮪魚+干貝)80g-03	寵物
蘋果苦瓜	生鮮冷藏
中性UA HOVR Phantom Boot運動休閒鞋	戶外休閒
8預-motogp防水手套-VR款	生活百貨
【BuyJM】天然亞藤蓆冬夏兩用高密度三折雙人加大床墊(6x6尺)	傢俱寢飾
3入袋-小	鍋具.廚具.濾水
單點椒麻	餐飲消費
牛+蝦餐盒	餐飲消費
日本大王境內(男)褲型XXL28片	嬰幼兒與孕婦
Coolive「L2」伸縮變焦強光頭燈	生活百貨
Pandora 潘朵拉 經典925純銀項鍊 粗鍊	鍋具.廚具.濾水
SZ S0026 氟化護理鍍膜-2L	交通
明鍠刮刮2000紅包袋	生活百貨
高山四季青奶茶M	飲料沖泡
Glinter加味氣泡水(荔枝) 350ml	飲料沖泡
宇宙靈魂學(下)	書籍
鵝滷肉飯	冷凍食品
三菱中細字油漆筆銀	生活百貨
450晶碩彩色日拋樂森林系列10片裝沉穩小象-藍	生活百貨
雪山啤酒 500ml*3罐	菸/酒
9789579001427大腦依戀障礙：為何我們總是用錯的方法，愛著對的人？	書籍
威寶榛果夾心巧克	零食點心
粵外-杏汁奶露/含油條	食品雜貨
金龍一番白露湯麵310g	泡麵罐頭
南高梅酒300ML	菸/酒
指考歷屆試題英文翰林	書籍
cama café 大杯經典拿鐵兌換券	飲料沖泡
啾嚕肉泥-鮪魚+牡蠣 14g*4入	寵物
冬瓜翠玉青茶	飲料沖泡
艾森絲輕柔膚觸粉底慕絲13	美容沐浴
美國特選嫩肩真空	其他消費
黑木耳200g-免(吳明威)	食品雜貨
布朗尼-5	餐飲消費
麻油燒酒雞	食品雜貨
本月精油大明星-玫瑰極致精油	居家清潔
代收代付 - 角落生物透明手提收納箱 小款v2- Norns 正版授權 收納盒 置物盒 整理箱 角落	生活百貨
(義)白拿鐵 Flat White	其他消費
味丹茶道冬瓜茶560ml	飲料沖泡
樂嫚妮純白系分類堆疊附蓋收納盒	傢俱寢飾
[溫馨小舖]56.鞋保姆鞋襪除臭劑 鞋襪除臭噴劑鞋子汗腳氣鞋臭殺菌除味噴霧除鞋襪臭去腳臭腳汗	服飾與配件精品
調酒NO.1搭餐	菸/酒
頂級699	食品雜貨
香蒜短棍(忠)	餐飲消費
【現貨秒出】創意新款龍貓無臉男掛件鈴鐺風鈴	其他消費
商品-褲	服飾與配件精品
雲朵舒芙蕾柔細Q彈暖心肚圍(小段)-灰藍條紋	嬰幼兒與孕婦
150華麗糖芯日拋隱形眼鏡10片婕希棕	美容沐浴
【E.City】牛津布質感純色手提保溫保冷便當包(保溫袋 購物提袋)	生活百貨
智能感應泡沫洗手機 潔手機 洗臉機 酒精消毒機(USB款)	生活百貨
柔軟 波浪 萬毛 牙刷	美容沐浴
繽紛大地指甲油 44	美容沐浴
阿峻師料理米酒600ml*(箱*24	菸/酒
原味復刻紅話梅 80g	其他消費
漢敏素水解蛋白養生燕麥奶900g	食品雜貨
福爾摩沙頂級紅玉(中)	其他消費
9123-7 妙妙雞認知小掛圖-九九乘法表	書籍
代收代付 - 多功能清潔毛刷 鏡頭刷 適用 單眼相機鏡頭清潔刷 模型除塵刷 清潔鏡頭毛刷 清潔刷子	小家電專區
圓型3P帶燈開關12V	生活百貨
【CONVERSE】CHUCK 70 OX 低筒 百搭 質感 休閒鞋 刺繡 花朵 白紫(570581C)	戶外休閒
停車繳費(8091TU)	交通
台灣火龍果	生鮮冷藏
§井田-敏炎寧 20g/支	食品雜貨
單款販售 現貨 氣球系列 畢奇 氣球寶寶航班 手中的氣球 pucky  畢奇精靈  popmart 盒玩盲盒 泡泡瑪特	戶外休閒
大細.豌豆醡醬麵	泡麵罐頭
紅燒花生豬腳	生鮮冷藏
悠活原力 高單位深海魚油EPA+DHA軟膠囊(60顆/盒)	食品雜貨
Telling Lies	3C電子/配件
酒精棉片	居家清潔
空運鮭魚味噌湯	生鮮冷藏
L44片滿意瞬潔乾爽輕巧褲(紅標)/一箱4包	嬰幼兒與孕婦
TW-8786	其他消費
E002009F	其他消費
莫比 愛貓無穀[鹿肉+鮭魚]3kg	寵物
可果美蕃茄醬700G*12/箱	食品雜貨
男式針織衫:OPTIC WHITE:XS	服飾與配件精品
傳統牛肉麵	泡麵罐頭
小美紅豆雪糕	冷凍食品
德國新布爾起司	生鮮冷藏
辣炒年糕_매운떡볶이	生鮮冷藏
快樂馬垃圾袋-大3入	居家清潔
IRIS慢食碗-高柱-	鍋具.廚具.濾水
嫩肩牛排(附濃湯)	寵物
黃金香草蛋糕	零食點心
B-美式咖啡	飲料沖泡
北海道干貝燒賣-顆	冷凍食品
大拇指耐酒精噴霧瓶PP-50ml	生活百貨
代收代付 - Dono狗狗紙尿褲尿不濕泰迪金毛禮貌帶寵物公狗尿布發情用品生理帶 小艾新品	其他消費
小朋友的營養早午餐	餐飲消費
拖鞋 室外拖鞋 情侶拖 情侶拖鞋 超級防滑 PVC+EVA材質 情侶拖 男鞋 三角拖鞋 橡膠拖鞋	服飾與配件精品
韓國農心 拌先生乾麵系列 (韓式炸雞風味/泡菜) 現貨 蝦皮直送  蝦皮直送	泡麵罐頭
統計學圖鑑: 未來10年的最熱技能， 保持領先， 必學極簡統	書籍
【胖胖糖】紅黑格充棉領結項圈-寵物項圈 安全扣 可伸縮 MIT 台灣手工 大中小型犬適用 貓項圈 狗項圈 頸圈	寵物
3M-克淋濕防水透氣繃10入/盒	生活百貨
【特力屋】FINE 隔板整理盒 附輪 淺型款 7.3L LF1004 45x16.8x12.8cm	傢俱寢飾
代收-澳洲 Tilley~皇家特莉植粹香氛皂(100g) 多款可選【D202001】緹莉香皂	飲料沖泡
13X13起酥片40g*20入	冷凍食品
企業管理課程一階-訂金	書籍
【MK馬克】HTC U11 plus 5.99吋 空壓氣墊防摔保護軟殼	3C電子/配件
LEUCHTTURM1917 Neon! Notebook/ Medium…	3C電子/配件
香料烤雞腿排飯	餐飲消費
Kanu Chenin Blanc W2017-1260	3C電子/配件
韓版防走光打底設計感短版背心 免穿內衣帶胸墊【V144】	服飾與配件精品
大衛杜夫香菸10ml(黑)	飲料沖泡
MY COLOR 打掃 擦窗戶 清潔刷 玻璃刮 磁吸式 窗戶清潔 可水洗 雙面 雙面玻璃清潔器【N110】	居家清潔
純棉網眼防蚊褲-綠色素面 (140cm)	服飾與配件精品
動中覺察：改變動作．改善生活．改寫人生	書籍
獨享麻辣鍋	餐飲消費
聲寶 $5000折價券	大型家電/視聽影音
套餐-勁辣鷄腿堡 Spicy Chicken Filet Burger Meal 2021-09-14 z7fn-razf	餐飲消費
黑豚三彩套餐	餐飲消費
紅玉冰紅茶-自	飲料沖泡
日本美濃燒飯碗M 網山水	鍋具.廚具.濾水
倉敷意匠 Office Stamp/ Omedetou	其他消費
大通超高速8K HDMI線1.2米	3C電子/配件
【快速到貨-棉花田】極簡風DIY自黏可拆洗細網防蚊窗紗(二件組)	其他消費
7879-M-淺灰(6C3S)涼感蠶絲貼合褲(面膜褲)	服飾與配件精品
義美香酥蔥油餅5片*18入	冷凍食品
立體洗衣袋2件組	生活百貨
【發熱褲】保暖升溫．舒適彈性內刷毛棉褲．649活動中(2件起)女款黑-M	服飾與配件精品
衣索比亞／伊迪朵／競標	生活百貨
【KINYO】紫外線殺菌 除蟎機 DRM-650 300W強力吸流 吸塵 UV HEPA濾芯	小家電專區
德兒童牙膏	嬰幼兒與孕婦
芋頭牛奶麵包-SUP	生鮮冷藏
起酥芋麻糬	其他消費
歡樂超值驚喜包-超大	戶外休閒
U奶綠	餐飲消費
春聯/旺來	生活百貨
蘋果牛	餐飲消費
【加厚2倍黏性】奈米無痕雙面膠 雙面膠帶 無痕膠帶 魔力膠帶 強力膠帶 無痕貼 萬用貼 可重複使用 抖音	生活百貨
代收-Kesho柔護抗菌濕式衛生紙80抽	其他消費
基本款素面九分休閒褲黑-M	服飾與配件精品
【Opure 臻淨】新A5抗敏HEPA空氣清淨機(三層濾網組)	大型家電/視聽影音
卡布奇諾-冰(L)	餐飲消費
【國際牌Panasonic】奈米水離子吹風機 EH-NA32-PP	小家電專區
吃情卡	餐飲消費
50514045 Fleece條紋立領上衣-童 (粉綠 - 150)	服飾與配件精品
Georg Jensen 喬治傑生 #451 ONE純銀項鍊	戶外休閒
*蓮霧花萃淨化洗髮精   南州	美容沐浴
老實農場金桔檸檬冰角	冷凍食品
高級牛皮麻將紙薄	其他消費
輝柏2B鉛-3入	生活百貨
冬暖夏涼C	傢俱寢飾
Q蒡麵-椒麻	零食點心
高露潔抗敏牙齦護理牙膏120g.全	美容沐浴
貝林爽身粉(藍)180gm-箱*12	嬰幼兒與孕婦
宅魚野生小卷3號 300g 三隻裝	其他消費
代收-自主學習成就解鎖：帶你找到最想學、打造獨有學習歷程	書籍
爬山露營推薦！日本 天野實業 即食起司燉飯 蕃茄起司 三種起司 菠菜起司 培根起司 綜合燉飯	戶外休閒
海尼根0.0造型悠遊卡	其他消費
苦茶皂	美容沐浴
紅翁菜	生鮮冷藏
蕃茄雞腿排義大利麵	冷凍食品
汽車電容	交通
黑松C＆amp;C乳酸菌氣泡飲510ml	飲料沖泡
日清新達人湯罐	寵物
王牌血橙西打酒	菸/酒
C&C乳酸氣泡飲510ml*24入	飲料沖泡
7吋暴龍二代	戶外休閒
50027064 刷毛圓領衫-女 (灰桔 - XL)	服飾與配件精品
『4月團』韓國L家春特價X14.水洗柔柔的運動色褲-紫5	其他消費
大成鄉嫩雞塊，黑	其他消費
小雪莓	零食點心
國際牌16吋DC變頻經典型溫感遙控立扇F-S16DMD	小家電專區
維力張君雅-和風雞汁條餅*65g	泡麵罐頭
高質感304不銹鋼湯匙	戶外休閒
艾米莉 5 格毛櫥	生活百貨
優群*夏豆軟糖*原*黑*抹5斤	零食點心
日本chez moi 去脂肪粒洗顏皂(80g)【小三美日】Tsubu Night D254811	美容沐浴
隔音耳塞 耳塞 降噪 抗噪音耳塞 睡眠用耳塞 台灣現貨 隔音 旅行 一對入 附盒【C104】【熊大碗福利社】	3C電子/配件
森田藥粧薏仁甘草淨白露面	美容沐浴
哄寶貝-586炙燒牛肉風味棒-(200g)	寵物
709加長止滑手套(30cm	交通
代收代付【KEYWAY 聯府】集寶四層櫃(兩小抽 收納櫃 抽屜櫃 附輪)(LR-40)	傢俱寢飾
極厚(粗)體驗沐浴巾 25*100 B9840	傢俱寢飾
花椒鹹雞肉	寵物
舒肥雞粉紅醬義大利麵	食品雜貨
NO.39018 彩色兩孔文書夾 足勇	生活百貨
佐爾 芳香消臭噴霧瓶-晨露清香(220G)	居家清潔
CB207 Q比天使學前皮頭鉛筆	生活百貨
手衛士抗菌水潤護手霜10	美容沐浴
二強絲印鋼化膜 適用三星 A42 玻璃貼 抗指紋 滿版 螢幕保護貼 保護膜 鋼化玻璃貼	交通
25元2707筆樂靚亮筆-金	生活百貨
牛丼 中 ^可Ｓ	餐飲消費
代收-澳洲 Swisse清體葉綠素片 100片	其他消費
2048D 黑色防水布膠帶 48mmX15y	生活百貨
寄美式咖啡(大)	餐飲消費
STEVE MADDEN-HARP 時尚飾扣皮質涼拖鞋-白色-85	服飾與配件精品
統一左岸拿鐵咖啡240cc	飲料沖泡
2021/05停車費	交通
Sac à chaussures fitness pliable imprimé noir No Size	生活百貨
東京瘋狂天堂 (13)	戶外休閒
代收代付 - 【Stay】韓版慵懶寬鬆V領薄款針織上衣 長袖上衣 女裝 寬鬆上衣 顯瘦上衣 長袖t恤	服飾與配件精品
